2020 Inyo Presidential Primary,5.10.11.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - REP (Vote For=1),President of the US - REP (Vote For=1),President of the US - REP (Vote For=1),President of the US - REP (Vote For=1),President of the US - REP (Vote For=1),President of the US - REP (Vote For=1),President of the US - REP (Vote For=1),President of the US - REP (Vote For=1),President of the US - REP (Vote For=1),President of the US - REP (Vote For=1),President of the US - AI (Vote For=1),President of the US - AI (Vote For=1),President of the US - AI (Vote For=1),President of the US - AI (Vote For=1),President of the US - AI (Vote For=1),President of the US - AI (Vote For=1),President of the US - GRN (Vote For=1),President of the US - GRN (Vote For=1),President of the US - GRN (Vote For=1),President of the US - GRN (Vote For=1),President of the US - GRN (Vote For=1),President of the US - GRN (Vote For=1),President of the US - GRN (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - PF (Vote For=1),President of the US - PF (Vote For=1),President of the US - PF (Vote For=1),U.S. Representative 8th District (Vote For=1),U.S. Representative 8th District (Vote For=1),U.S. Representative 8th District (Vote For=1),U.S. Representative 8th District (Vote For=1),U.S. Representative 8th District (Vote For=1),U.S. Representative 8th District (Vote For=1),U.S. Representative 8th District (Vote For=1),U.S. Representative 8th District (Vote For=1),U.S. Representative 8th District (Vote For=1),U.S. Representative 8th District (Vote For=1),U.S. Representative 8th District (Vote For=1),Member of the State Assembly 26th District (Vote For=1),Member of the State Assembly 26th District (Vote For=1),Member of the State Assembly 26th District (Vote For=1),Superior Court Judge #1 (Vote For=1),Superior Court Judge #1 (Vote For=1),Superior Court Judge #1 (Vote For=1),Superior Court Judge #1 (Vote For=1),"County Supervisor, 2nd District (Vote For=1)","County Supervisor, 2nd District (Vote For=1)","County Supervisor, 2nd District (Vote For=1)","County Supervisor, 4th District (Vote For=1)","County Supervisor, 4th District (Vote For=1)","County Supervisor, 4th District (Vote For=1)","County Supervisor, 4th District (Vote For=1)","County Supervisor, 5th District (Vote For=1)","County Supervisor, 5th District (Vote For=1)",State Proposition 13 (Vote For=1),State Proposition 13 (Vote For=1),Measure M- School Bond Measure (Vote For=1),Measure M- School Bond Measure (Vote For=1) 
5367,6,8,18,6-8-18,Mailed Ballot,119 (119),5 (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,0,0,0,1,0,1
5368,6,8,19,6-8-19,Mailed Ballot,119 (119),5 (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,1,0,0,1,0,1
5369,6,8,20,6-8-20,Mailed Ballot,119 (119),5 (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,1,0,0,1,0,1
5370,6,8,21,6-8-21,Mailed Ballot,119 (119),5 (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,1,0,0,1,0,1
5371,6,8,22,6-8-22,Mailed Ballot,119 (119),5 (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,1,0,0,1,1,0
5372,6,8,23,6-8-23,Mailed Ballot,119 (119),5 (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,1,0,0,1,1,0
5373,6,8,25,6-8-25,Mailed Ballot,119 (119),5 (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,1,0,0,1,0,1
5374,6,8,27,6-8-27,Mailed Ballot,119 (119),5 (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,0,0,0,1,0,1
5375,6,8,28,6-8-28,Mailed Ballot,119 (119),5 (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,0,0,0,1,0,1
5376,6,8,29,6-8-29,Mailed Ballot,119 (119),5 (5),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,,,,,,,,1,0,1,0,1,0
5377,6,8,2,6-8-2,Mailed Ballot,119 (119),5 (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,1,0,0,1,0,1
5378,6,8,6,6-8-6,Mailed Ballot,119 (119),5 (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,0,0,0,1,0,1
5379,6,8,7,6-8-7,Mailed Ballot,119 (119),5 (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,0,0,0,1,0,1
5380,6,8,12,6-8-12,Mailed Ballot,119 (119),5 (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,0,0,0,1,1,0
5381,6,8,24,6-8-24,Mailed Ballot,119 (119),5 (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,0,0,0,1,0,1
5382,6,8,26,6-8-26,Mailed Ballot,119 (119),5 (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,0,0,0,1,0,1
5383,6,9,1,6-9-1,Mailed Ballot,121 (121),6 (6),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,,,,,,,,1,0,0,1,,
5384,6,9,2,6-9-2,Mailed Ballot,121 (121),6 (6),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,,,,,,,,1,0,0,1,,
5385,6,9,3,6-9-3,Mailed Ballot,121 (121),6 (6),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,1,0,1,0,,
5386,6,9,5,6-9-5,Mailed Ballot,121 (121),6 (6),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,,,,,,,,1,0,1,0,,
5387,6,9,6,6-9-6,Mailed Ballot,121 (121),6 (6),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,,,,,,,,1,0,1,0,,
5388,6,9,7,6-9-7,Mailed Ballot,121 (121),6 (6),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,,,,,,,,1,0,0,1,,
5389,6,9,8,6-9-8,Mailed Ballot,121 (121),6 (6),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,,,1,0,0,1,,
5390,6,9,9,6-9-9,Mailed Ballot,121 (121),6 (6),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,0,0,1,0,,
5391,6,9,10,6-9-10,Mailed Ballot,121 (121),6 (6),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,,1,0,1,0,,
5392,6,9,11,6-9-11,Mailed Ballot,121 (121),6 (6),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,,,,,,,,1,0,0,1,,
5393,6,9,4,6-9-4,Mailed Ballot,121 (121),6 (6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,,,,,,,,1,0,0,1,,
5394,6,10,1,6-10-1,Mailed Ballot,120 (120),6 (6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,1,0,0,1,,
5395,6,10,2,6-10-2,Mailed Ballot,120 (120),6 (6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,0,0,0,1,,
5396,6,10,3,6-10-3,Mailed Ballot,120 (120),6 (6),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,,,,,,1,0,1,0,,
5397,6,10,4,6-10-4,Mailed Ballot,120 (120),6 (6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,,,,,,,,0,0,1,0,,
5398,6,10,5,6-10-5,Mailed Ballot,120 (120),6 (6),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,,,,,,,,0,0,0,1,,
5399,6,10,6,6-10-6,Mailed Ballot,120 (120),6 (6),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,,,,,,,,1,0,1,0,,
5400,6,10,7,6-10-7,Mailed Ballot,120 (120),6 (6),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,,,,,,,,0,0,1,0,,
5401,6,10,8,6-10-8,Mailed Ballot,120 (120),6 (6),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,,,,,,,,1,0,0,1,,
5402,6,10,9,6-10-9,Mailed Ballot,120 (120),6 (6),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,,,,,,,,0,0,0,1,,
5403,6,10,10,6-10-10,Mailed Ballot,120 (120),6 (6),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,,,,,,,,1,0,0,1,,
5404,6,10,11,6-10-11,Mailed Ballot,120 (120),6 (6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,1,0,0,1,,
5405,6,10,12,6-10-12,Mailed Ballot,120 (120),6 (6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,1,0,0,1,,
5406,6,10,13,6-10-13,Mailed Ballot,120 (120),6 (6),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,,,,,,,,1,0,0,1,,
5407,6,11,1,6-11-1,Mailed Ballot,118 (118),5 (5),redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted
5408,6,11,2,6-11-2,Mailed Ballot,118 (118),5 (5),redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted
5409,6,11,3,6-11-3,Mailed Ballot,118 (118),5 (5),redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted
5410,6,11,4,6-11-4,Mailed Ballot,118 (118),5 (5),redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted
5411,6,11,5,6-11-5,Mailed Ballot,118 (118),5 (5),redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted
5412,6,11,6,6-11-6,Mailed Ballot,118 (118),5 (5),redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted
5413,6,12,1,6-12-1,Mailed Ballot,104 (104),2 (2),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,,,,,,,1,0,,
5414,6,12,2,6-12-2,Mailed Ballot,104 (104),2 (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,,,,,,,0,1,,
5415,6,12,3,6-12-3,Mailed Ballot,104 (104),2 (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,,,,,,,1,0,,
5416,6,12,4,6-12-4,Mailed Ballot,104 (104),2 (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,,,,,,,1,0,,
5417,6,12,5,6-12-5,Mailed Ballot,104 (104),2 (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,,,,,,,0,1,,
5418,6,12,6,6-12-6,Mailed Ballot,104 (104),2 (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,,,,,,,0,1,,
5419,6,12,7,6-12-7,Mailed Ballot,104 (104),2 (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,,,,,,,0,1,,
5420,6,12,8,6-12-8,Mailed Ballot,104 (104),2 (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,,,,,,,0,1,,
5421,6,12,9,6-12-9,Mailed Ballot,104 (104),2 (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,,,,,,,0,1,,
5422,6,12,10,6-12-10,Mailed Ballot,104 (104),2 (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,,,,,,,0,1,,
5423,6,12,11,6-12-11,Mailed Ballot,104 (104),2 (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,,,,,,,0,1,,
5424,6,12,12,6-12-12,Mailed Ballot,104 (104),2 (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,,,,,,,0,1,,
5425,6,12,13,6-12-13,Mailed Ballot,104 (104),2 (2),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,,,,,,,1,0,,
5426,6,12,14,6-12-14,Mailed Ballot,104 (104),2 (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,,,,,,,0,1,,
